Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2022-08-22,5.59723,5.64984,5.59034,5.63421
2022-08-23,5.6377,5.675,5.63158,5.66385
2022-08-24,5.65905,5.69088,5.63301,5.6429
2022-08-25,5.64411,5.64924,5.62112,5.62359
2022-08-26,5.62379,5.62935,5.5764,5.5833
2022-08-29,5.58644,5.59795,5.53529,5.54559
2022-08-30,5.54511,5.55067,5.48811,5.49857
2022-08-31,5.49857,5.52134,5.45502,5.46124
2022-09-01,5.46052,5.47997,5.43024,5.47437
2022-09-02,5.47312,5.47815,5.41591,5.45875
2022-09-05,5.45164,5.50074,5.44652,5.47366
2022-09-06,5.47457,5.50902,5.46493,5.49871
2022-09-07,5.49933,5.50569,5.42279,5.43293
2022-09-08,5.43681,5.44327,5.41172,5.41505
2022-09-09,5.41544,5.45589,5.39931,5.41311
2022-09-12,5.41537,5.43445,5.38432,5.41886
2022-09-13,5.41976,5.44688,5.41102,5.44061
2022-09-14,5.43913,5.4721,5.43238,5.45354
2022-09-15,5.45423,5.46465,5.41382,5.41887
2022-09-16,5.41988,5.42148,5.37417,5.38389
2022-09-19,5.38437,5.39203,5.35687,5.36805
2022-09-20,5.36906,5.41766,5.3619,5.39412
2022-09-21,5.39407,5.48854,5.38861,5.47112
2022-09-22,5.47108,5.48768,5.43302,5.44037
2022-09-23,5.44032,5.461,5.3209,5.33744
2022-09-26,5.30197,5.37629,5.11459,5.28643
2022-09-27,5.28535,5.36032,5.28353,5.35387
2022-09-28,5.35412,5.4368,5.31329,5.37714
2022-09-29,5.3768,5.50789,5.36046,5.49783
2022-09-30,5.49771,5.57299,5.47925,5.53562
2022-10-03,5.53232,5.56728,5.49483,5.56372
2022-10-04,5.56406,5.57154,5.50107,5.53234
2022-10-05,5.5321,5.5415,5.48256,5.51867
2022-10-06,5.51936,5.5748,5.50658,5.56891
2022-10-07,5.56384,5.57621,5.51554,5.52925
2022-10-10,5.54045,5.56881,5.51441,5.53478
2022-10-11,5.53868,5.56538,5.47495,5.48294
2022-10-12,5.48608,5.55014,5.47216,5.54239
2022-10-13,5.54438,5.62444,5.52792,5.56869
2022-10-14,5.57385,5.60244,5.51579,5.5213
2022-10-17,5.55403,5.60192,5.53159,5.53958
2022-10-18,5.53867,5.55385,5.48814,5.4975
2022-10-19,5.49775,5.51962,5.49157,5.51017
2022-10-20,5.5122,5.52212,5.45489,5.47764
2022-10-21,5.47835,5.47996,5.43372,5.47397
2022-10-24,5.50719,5.52542,5.46014,5.47015
2022-10-25,5.46949,5.51006,5.46168,5.48604
2022-10-26,5.48604,5.51963,5.45698,5.46968
2022-10-27,5.46956,5.49665,5.46464,5.48171
2022-10-28,5.48269,5.50407,5.45726,5.50005
2022-10-31,5.50028,5.51433,5.46209,5.47389
2022-11-01,5.47389,5.48349,5.45242,5.46764
2022-11-02,5.46764,5.48082,5.4473,5.45989
2022-11-03,5.45821,5.46561,5.3689,5.3756
2022-11-04,5.37607,5.39121,5.3278,5.35511
2022-11-07,5.34489,5.38685,5.33012,5.36776
2022-11-08,5.36666,5.39179,5.36256,5.37697
2022-11-09,5.37408,5.39351,5.33068,5.34554
2022-11-10,5.34546,5.40437,5.33964,5.3787
2022-11-11,5.37912,5.38335,5.33117,5.35073
2022-11-14,5.33616,5.37548,5.33283,5.36432
2022-11-15,5.36652,5.45046,5.33423,5.41375
2022-11-16,5.40729,5.47931,5.34838,5.38446
2022-11-17,5.38579,5.40025,5.36248,5.38713
2022-11-18,5.38695,5.41905,5.38471,5.40816
2022-11-21,5.41169,5.43539,5.40217,5.41971
2022-11-22,5.41882,5.45948,5.41876,5.42562
2022-11-23,5.426,5.47589,5.41383,5.4494
2022-11-24,5.44967,5.48079,5.44723,5.46809
2022-11-25,5.46632,5.47077,5.44385,5.45363
2022-11-28,5.45963,5.46636,5.39583,5.42108
2022-11-29,5.4209,5.43799,5.40269,5.41457
2022-11-30,5.41355,5.41774,5.38362,5.41132
2022-12-01,5.41132,5.4949,5.40598,5.46347
2022-12-02,5.46341,5.47543,5.44609,5.45505
2022-12-05,5.44874,5.47647,5.43878,5.47376
2022-12-06,5.47341,5.48518,5.43469,5.43799
2022-12-07,5.43814,5.46747,5.43355,5.46007
2022-12-08,5.45993,5.45999,5.41636,5.42544
2022-12-09,5.42483,5.48529,5.42258,5.45745
2022-12-12,5.45948,5.47335,5.44215,5.46023
2022-12-13,5.46121,5.48369,5.44626,5.45131
2022-12-14,5.45118,5.47769,5.43254,5.44723
2022-12-15,5.44957,5.45015,5.37187,5.38023
2022-12-16,5.37818,5.39775,5.34943,5.38049
2022-12-19,5.38483,5.39506,5.36251,5.3702
2022-12-20,5.37029,5.38226,5.33385,5.3555
2022-12-21,5.35685,5.36003,5.30208,5.31055
2022-12-22,5.31084,5.31614,5.25165,5.26952
2022-12-23,5.2681,5.29032,5.25987,5.26833
