Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2022-08-22,1.18277,1.18367,1.17423,1.1765
2022-08-23,1.1766,1.18775,1.17176,1.1834
2022-08-24,1.18337,1.18381,1.17561,1.17939
2022-08-25,1.17937,1.18636,1.17846,1.18366
2022-08-26,1.18374,1.19005,1.17338,1.17365
2022-08-29,1.17302,1.17438,1.1649,1.1706
2022-08-30,1.17046,1.17589,1.16225,1.16557
2022-08-31,1.16555,1.16937,1.15997,1.16175
2022-09-01,1.1619,1.16199,1.15001,1.15419
2022-09-02,1.15415,1.15888,1.14963,1.15096
2022-09-05,1.1487,1.15231,1.14438,1.15217
2022-09-06,1.15218,1.16086,1.14949,1.15179
2022-09-07,1.15174,1.15391,1.14062,1.15377
2022-09-08,1.15374,1.15596,1.14622,1.15023
2022-09-09,1.1503,1.16481,1.1502,1.15914
2022-09-12,1.16318,1.17103,1.16009,1.16811
2022-09-13,1.16809,1.17379,1.14921,1.14936
2022-09-14,1.14942,1.15897,1.14803,1.15409
2022-09-15,1.15425,1.15492,1.14617,1.14667
2022-09-16,1.1467,1.14805,1.13511,1.14253
2022-09-19,1.14211,1.14425,1.13557,1.14344
2022-09-20,1.14346,1.14608,1.13575,1.13788
2022-09-21,1.13787,1.1385,1.12387,1.12749
2022-09-22,1.12765,1.13636,1.12128,1.12545
2022-09-23,1.12544,1.12736,1.08401,1.08671
2022-09-26,1.082,1.09304,1.03393,1.06788
2022-09-27,1.06779,1.08383,1.06551,1.07318
2022-09-28,1.07325,1.09147,1.05408,1.08853
2022-09-29,1.08858,1.11279,1.07627,1.11228
2022-09-30,1.11228,1.12342,1.10255,1.11666
2022-10-03,1.11881,1.13343,1.10859,1.13187
2022-10-04,1.13189,1.14889,1.1281,1.14723
2022-10-05,1.14718,1.14951,1.12274,1.13221
2022-10-06,1.13227,1.13832,1.11163,1.1168
2022-10-07,1.11677,1.12252,1.10557,1.10801
2022-10-10,1.10906,1.1111,1.10199,1.10579
2022-10-11,1.106,1.11795,1.09533,1.0976
2022-10-12,1.09759,1.11324,1.09245,1.1102
2022-10-13,1.11022,1.13796,1.1058,1.13305
2022-10-14,1.13315,1.13658,1.1153,1.11833
2022-10-17,1.12238,1.14398,1.1216,1.13643
2022-10-18,1.1365,1.14099,1.12561,1.13249
2022-10-19,1.13246,1.13579,1.11856,1.12191
2022-10-20,1.12187,1.13352,1.11716,1.12363
2022-10-21,1.12366,1.13101,1.10616,1.1302
2022-10-24,1.13928,1.14085,1.12584,1.128
2022-10-25,1.12796,1.14994,1.12722,1.1472
2022-10-26,1.14724,1.16384,1.14313,1.16239
2022-10-27,1.16237,1.16451,1.15499,1.15672
2022-10-28,1.15671,1.16234,1.15042,1.16172
2022-10-31,1.16007,1.16132,1.14605,1.14699
2022-11-01,1.14699,1.15656,1.14377,1.14805
2022-11-02,1.14805,1.15635,1.13853,1.13876
2022-11-03,1.13868,1.14219,1.115,1.11644
2022-11-04,1.11656,1.13818,1.11515,1.13762
2022-11-07,1.13202,1.15417,1.1291,1.15115
2022-11-08,1.15116,1.15983,1.14306,1.15475
2022-11-09,1.15465,1.15669,1.13341,1.13579
2022-11-10,1.13581,1.17315,1.13541,1.17003
2022-11-11,1.17004,1.18547,1.16478,1.18445
2022-11-14,1.17803,1.18284,1.17112,1.17538
2022-11-15,1.17539,1.20235,1.17413,1.18638
2022-11-16,1.18641,1.19421,1.18318,1.19133
2022-11-17,1.19131,1.19577,1.17642,1.18649
2022-11-18,1.18641,1.19507,1.18584,1.18828
2022-11-21,1.18895,1.18959,1.17789,1.18222
2022-11-22,1.18204,1.19029,1.18192,1.18867
2022-11-23,1.1887,1.20804,1.1873,1.20526
2022-11-24,1.20532,1.21536,1.20532,1.21145
2022-11-25,1.21141,1.21274,1.20587,1.2098
2022-11-28,1.20682,1.21181,1.1941,1.19602
2022-11-29,1.1961,1.20642,1.19455,1.19527
2022-11-30,1.19527,1.20871,1.19009,1.206
2022-12-01,1.206,1.23027,1.206,1.22579
2022-12-02,1.22579,1.22999,1.2135,1.22816
2022-12-05,1.22822,1.23446,1.21619,1.2194
2022-12-06,1.21935,1.22672,1.21279,1.21316
2022-12-07,1.2131,1.22344,1.21069,1.22087
2022-12-08,1.22086,1.22473,1.21549,1.22329
2022-12-09,1.22331,1.23226,1.22121,1.22578
2022-12-12,1.22597,1.22989,1.22065,1.22648
2022-12-13,1.22648,1.2444,1.22484,1.23675
2022-12-14,1.23678,1.24457,1.23424,1.24281
2022-12-15,1.24279,1.24289,1.2157,1.21869
2022-12-16,1.21863,1.22232,1.21202,1.21611
2022-12-19,1.21611,1.22414,1.2121,1.21469
2022-12-20,1.21475,1.22233,1.2086,1.21842
2022-12-21,1.21848,1.21923,1.20554,1.20828
2022-12-22,1.20826,1.21462,1.19932,1.20383
2022-12-23,1.20367,1.20902,1.20188,1.20474
